_id,URL,Giá,Tiêu đề,Chính sách bảo hành,Dòng xe,Hãng xe,Loại xe,Năm sản xuất,Số Km đã đi,Trọng lượng,Tình trạng,Xuất xứ,Hộp số,Nhiên liệu,Số chỗ,Trọng tải,Loại phụ tùng,Mã phụ tùng,Kiểu dáng,Dung tích xe,Chất liệu khung,Dòng xe đạp thể thao,Kích thước khung,Loại xe đạp,Màu sắc,Bảo hành,Động cơ,Hãng xe tải
694d6d5c31eb0e1e04011d3c,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/128036671.htm,87.800.000 đ,Kawasaki Z400 BSTP BIÊN HÒA. MỚI KEN. CHÍNH CHỦ,Bảo hành hãng,Z400,Kawasaki,Tay côn/Moto,2023,17000,> 50 kg,Đã sử dụng,Đang cập nhật,,,,,,,,,,,,,,,,
694d6d6031eb0e1e04011d3d,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/126003457.htm,1.139.000.000 đ,Volkswagen Tiguan model 2023 siêu lướt 28700 km,,Tiguan,Volkswagen,,2023,,> 1 tấn,,,Tự động,Xăng,7,> 2 tấn,,,,,,,,,,,,
694d6d6531eb0e1e04011d3e,https://xe.chotot.com/mua-ban-xe-may-quan-nam-tu-liem-ha-noi/127495111.htm,13.000.000 đ,"winner v1 đời 2019, giá 13tr, hỗ trợ trả góp 0đ",,,,,,,,,,,,,,,,,,,,,,,,,
694d6d6931eb0e1e04011d3f,https://xe.chotot.com/mua-ban-xe-dien-quan-bac-tu-liem-ha-noi/129344372.htm,8.500.000 đ,vespa lx150 đèn vuông đủ giấy tờ,,,,,,,,,,,,,,,,,,,,,,,,,
694d6d6d31eb0e1e04011d40,https://xe.chotot.com/mua-ban-phu-tung-xe-quan-tan-phu-tp-ho-chi-minh/129834761.htm,5.200.000 đ,Mặt ca lăng Audi TT RS Đen,,,,,,,,Đã sử dụng,Đang cập nhật,,,,,Phụ tùng ô tô,In trên bao bì sản phẩm,,,,,,,,,,
694d6d7231eb0e1e04011d41,https://xe.chotot.com/mua-ban-oto-quan-tan-phu-tp-ho-chi-minh/120289793.htm,646.000.000 đ,NGÂN HÀNG TỪ CHỐI? ĐỪNG LO 72 TRIỆU NHẬN XE VF6,,VF6,VinFast,,2025,,,,,Tự động,Điện,5,,,,SUV / Cross over,,,,,,,,,
694d6d7631eb0e1e04011d42,https://xe.chotot.com/mua-ban-xe-may-huyen-hoc-mon-tp-ho-chi-minh/129344327.htm,62.000.000 đ,Honda SH 2009 form cũ Đen 32367 km,,,,,,,,,,,,,,,,,,,,,,,,,
694d6d7a31eb0e1e04011d43,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/129091484.htm,959.000.000 đ,Kia Sorento Signature 2.5 AT AWD 2022 Siêu Lướt,,Sorento,Kia,,2022,,> 1 tấn,,,Tự động,Dầu,7,> 2 tấn,,,SUV / Cross over,,,,,,,,,
694d6d7f31eb0e1e04011d44,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/128375536.htm,25.800.000 đ,Suzuki Gsx R150 ABS 2020 BSTP siêu đẹp,,,,,,,,,,,,,,,,,,,,,,,,,
694d6d8431eb0e1e04011d45,https://xe.chotot.com/mua-ban-xe-may-quan-ninh-kieu-can-tho/128190668.htm,23.500.000 đ,Vision 2019 B65 GÓP CẦN CCCD ĐỦ 18t TRẢ TRƯỚC 0₫,,,,,,,,,,,,,,,,,,,,,,,,,
